puntos,foliose,fructicose,crustose,escuamulose,dimorphic,green_algae,ciabobacteria,both,apothecia,perithecia,soredia,isidia,uv_protection,Microbiological_protec,herbivory_protec,Foresp1,Foresp2,Foresp3,cilia,uv_protection,alellopathic,herbivory_protection,lad,pend,Slope,Slope_mrp,Orientation,Elevation,ORNS_lad,ORWE_lad,ORNS_aspect,ORWE_aspect
Ch 44,4.00,2.00,9.00,0,0,15,0,0,10.00,0.00,3.00,3.00,7.00,10.00,0.00,6,3,1,2,7,10,0,2,30,0,1,-0.5,1,1,1,-1,1
Ch 43,8.00,3.00,6.00,0,0,17,0,0,9.00,0.00,6.00,5.00,8.00,13.00,0.00,5,2,1,3,8,13,0,1,20,0,1,0.42261826,1,1,1,0,1
Ch 21,3.00,1.00,7.00,0,1,11,1,0,8.00,0.00,3.00,1.00,4.00,8.00,0.00,6,2,1,1,4,8,0,4,40,0,2,0,1,-1,1,0,1
Ch 11,4.00,4.00,9.00,0,2,18,0,1,14.00,0.00,5.00,2.00,7.00,14.00,1.00,8,2,1,5,7,14,1,2,90,1,3,0,1,1,1,0,-1
Ch 10,5.00,6.00,11.00,0,0,22,0,0,14.00,0.00,8.00,6.00,11.00,13.00,1.00,9,3,2,7,11,13,1,2,90,1,3,-0.70710678,1,1,1,-1,-1
Ch 4,2.00,2.00,7.00,0,0,11,0,0,8.00,0.00,1.00,3.00,5.00,5.00,1.00,4,3,1,2,5,5,1,2,0,0,1,0,1,1,1,0,1
Ch 3,5.00,0.00,6.00,0,0,11,0,0,9.00,0.00,0.00,2.00,4.00,6.00,0.00,5,2,1,1,4,6,0,2,45,0,2,0,1,1,1,0,1
Ch12,2.00,1.00,6.00,0,0,9,0,0,8.00,0.00,1.00,2.00,5.00,6.00,1.00,4,3,0,1,5,6,1,2,45,0,2,0,1,1,1,0,1
Ch 27A,3.00,3.00,8.00,0,1,18,0,1,10.00,0.00,3.00,4.00,5.00,13.00,0.00,9,3,1,3,7,16,1,4,50,0,3,-0.34202014,1,-1,1,-1,1
Ch 27B,5.00,4.00,9.00,0,0,14,0,0,13.00,0.00,4.00,5.00,7.00,16.00,1.00,7,1,1,3,5,13,0,4,90,1,2,-0.64278761,1,-1,1,0,1
Ch 26A,11.00,3.00,10.00,0,0,24,0,0,15.00,0.00,7.00,5.00,9.00,15.00,1.00,8,3,2,4,9,15,1,1,90,1,3,0,1,1,0,0,1
Ch 26B,4.00,1.00,5.00,0,0,10,0,0,8.00,1.00,2.00,1.00,5.00,6.00,0.00,4,2,0,1,5,6,0,1,90,1,3,0.7313537,1,1,0,1,1
Ch 30A,3.00,1.00,7.00,0,0,13,0,0,9.00,0.00,1.00,2.00,6.00,6.00,0.00,8,2,0,1,4,9,0,2,1,0,2,0.0348995,2,1,1,0,1
Ch 30B,5.00,1.00,7.00,0,0,11,0,0,11.00,0.00,3.00,1.00,4.00,9.00,0.00,5,3,0,1,6,6,0,2,40,0,1,-0.32556815,2,1,1,0,1
Ch 30C,5.00,2.00,6.00,0,0,13,0,0,10.00,0.00,4.00,2.00,4.00,10.00,0.00,9,1,0,2,4,10,0,2,90,1,3,0.94551858,2,1,1,1,0
Ch 42,3.00,2.00,11.00,0,1,16,0,1,13.00,0.00,3.00,3.00,6.00,11.00,1.00,9,3,1,3,6,11,1,5,85,1,3,-0.5,2,-1,1,-1,1
Ch 41,2.00,3.00,10.00,0,0,15,0,0,12.00,0.00,2.00,3.00,8.00,10.00,1.00,8,3,1,2,8,10,1,7,28,0,1,-0.93969262,2,-1,-1,-1,0
Ch 40,2.00,1.00,10.00,0,0,13,0,0,12.00,0.00,1.00,1.00,5.00,8.00,0.00,7,2,2,1,5,8,0,3,30,0,1,0.08715574,2,0,1,0,1
Ch 20A,2.00,3.00,7.00,0,0,15,0,0,10.00,0.00,2.00,2.00,5.00,9.00,0.00,9,4,0,2,6,8,1,3,40,0,3,-0.35836795,2,0,1,0,-1
Ch 20B,2.00,3.00,10.00,0,0,12,0,0,14.00,0.00,2.00,2.00,6.00,8.00,1.00,8,3,0,3,5,9,0,3,85,1,2,0,2,0,1,0,-1
