muestra,roca,tmto,MS,Pmesc,Pmsec,area,CRHtot,CRHint,CRHext,Chtot,Chint,spp
R25_1-1 y 1-2 parmotrema,R25,norte_sur,1.4,4.7,3.2,2294.889,0.143797805,0.078435166,0.065362638,3.3,1.8,Parmotrema_reticulatum
R30_1-3,R30,media_alta,0.6,1.5,1.1,1098.475,0.081931769,0.045517649,0.03641412,0.9,0.5,Usnea_amblyoclada
R25_1-3 y 2-1 usnea,R25,norte_sur,1.6,3.9,2.8,2187.598,0.105138147,0.054854685,0.050283462,2.3,1.2,Usnea_amblyoclada
R25_1-3 y 2-1 parmotrema,R25,norte_sur,1.3,4.8,2.9,2162.768,0.161829655,0.073979271,0.087850384,3.5,1.6,Parmotrema_reticulatum
R23_1-2,R23,sur_norte,1,2.3,1.7,1422.287,0.091402087,0.049216508,0.042185579,1.3,0.7,Usnea_amblyoclada
R33_2-2,R33,media_alta,1.1,3.7,2.3,2616.337,0.099375577,0.045865651,0.053509926,2.6,1.2,Parmotrema_reticulatum
R34_1-2,R34,media_alta,1.5,3.3,2.5,2581.838,0.069717775,0.038732097,0.030985678,1.8,1,Usnea_amblyoclada
R14_1-3 y 2-3 usnea,R14,control_sur,1.3,3.2,2.2,1590.052,0.119492947,0.056601922,0.062891025,1.9,0.9,Usnea_amblyoclada
R14_1-3 y 2-3 parmotrema,R14,control_sur,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parmotrema_reticulatum
R14_1-2 y 2-2 usnea,R14,control_sur,1.5,3.8,2.6,1843.154,0.1247861,0.059680309,0.065105791,2.3,1.1,Usnea_amblyoclada
R14_1-2 y 2-2 parmotrema,R14,control_sur,0.7,3,1.8,1770.191,0.129929482,0.062140187,0.067789295,2.3,1.1,Parmotrema_reticulatum
R14_2-3,R14,control_sur,0.4,1.6,0.9,1284.839,0.093396916,0.038915382,0.054481534,1.2,0.5,Parmotrema_reticulatum
R19_1-1,R19,sur_norte,1.5,3.7,2.6,1723.433,0.127652192,0.063826096,0.063826096,2.2,1.1,Usnea_amblyoclada
R21_1-1 y 2-1 usnea,R21,control_sur,0.7,1.9,1.2,1466.434,0.081831163,0.034096318,0.047734845,1.2,0.5,Usnea_amblyoclada
R21_1-1 y 2-1 parmotrema,R21,control_sur,1.6,5.6,3.8,2883.68,0.138711646,0.076291405,0.062420241,4,2.2,Parmotrema_reticulatum
R21_1-3 y 2-3 usnea,R21,control_sur,0.5,1.1,0.9,1119.42,0.053599185,0.03573279,0.017866395,0.6,0.4,Usnea_amblyoclada
R21_1-3 y 2-3 parmotrema,R21,control_sur,0.5,2.2,1.3,997.986,0.170343071,0.080161445,0.090181626,1.7,0.8,Parmotrema_reticulatum
R22_1-3 y 2-3 usnea,R22,norte_sur,1.1,2.7,1.9,1501.325,0.106572528,0.053286264,0.053286264,1.6,0.8,Usnea_amblyoclada
R22_1-3 y 2-3 parmotrema,R22,norte_sur,0.2,1.4,0.6,1251.957,0.095849937,0.031949979,0.063899958,1.2,0.4,Parmotrema_reticulatum
R25_2-2 y 2-3 usnea,R25,norte_sur,0.7,2,1.4,1122.287,0.115834898,0.062372637,0.053462261,1.3,0.7,Usnea_amblyoclada
R25_2-2 y 2-3 parmotrema,R25,norte_sur,0.6,2.4,1.5,988.004,0.182185497,0.091092749,0.091092749,1.8,0.9,Parmotrema_reticulatum
R31_2-3,R31,media_alta,0.4,1.6,1,896.596,0.133839544,0.066919772,0.066919772,1.2,0.6,Parmotrema_reticulatum
R31_1-1,R31,media_alta,1.4,3.7,2.4,1896.935,0.121248224,0.052716619,0.068531605,2.3,1,Usnea_amblyoclada
R31_2-1,R31,media_alta,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parmotrema_reticulatum
R31_1-2,R31,media_alta,0.3,1.5,0.8,954.509,0.125719087,0.052382953,0.073336134,1.2,0.5,Parmotrema_reticulatum
R31_1-3,R31,media_alta,2.7,6,4.6,2965.652,0.111274013,0.064066856,0.047207157,3.3,1.9,Usnea_amblyoclada
R32_1-2,R32,media_alta,1,2.3,1.7,1119.491,0.116124203,0.062528417,0.053595786,1.3,0.7,Usnea_amblyoclada
R32_2-3,R32,media_alta,0.2,0.9,0.5,724.695,0.09659236,0.041396726,0.055195634,0.7,0.3,Parmotrema_reticulatum
R32_1-3,R32,media_alta,0.8,1.9,1.4,1113.603,0.09877847,0.053879165,0.044899304,1.1,0.6,Usnea_amblyoclada
R32_1-1,R32,media_alta,1.7,3.7,2.8,1870.043,0.106949412,0.058822177,0.048127236,2,1.1,Usnea_amblyoclada
R32_2-1,R32,media_alta,0.5,2.5,1.3,1015.728,0.196903108,0.078761243,0.118141865,2,0.8,Parmotrema_reticulatum
R33_2-1,R33,media_alta,0.8,1.8,1.2,1082.554,0.092374145,0.036949658,0.055424487,1,0.4,Usnea_amblyoclada
R33_1-3,R33,media_alta,0.7,2.3,1.6,984.175,0.162572713,0.091447151,0.071125562,1.6,0.9,Parmotrema_reticulatum
R33_1-1,R33,media_alta,1.1,3.3,2.1,2331.199,0.094372038,0.042896381,0.051475657,2.2,1,Parmotrema_reticulatum
R34_1-3,R33,media_alta,2.8,6.1,4.7,2565.315,0.128639173,0.074064978,0.054574195,3.3,1.9,Usnea_amblyoclada
